DATE/TIME;SYMBOL;OPEN;HIGH;LOW;CLOSE;EVOL % CLOSE/HIGH
2022-01-05T00:00:00+00:00;LEOBEAR/USD;3,01700000;3,01700000;3,01700000;3,01700000;0,0
2022-01-04T00:00:00+00:00;LEOBEAR/USD;3,02100000;3,03700000;2,93200000;3,01700000;-0,13
2022-01-03T00:00:00+00:00;LEOBEAR/USD;3,03900000;3,04100000;2,97500000;3,02100000;-0,6
2022-01-02T00:00:00+00:00;LEOBEAR/USD;3,01500000;3,04200000;2,93100000;3,03900000;0,79
2022-01-01T00:00:00+00:00;LEOBEAR/USD;3,08200000;3,08200000;2,96000000;3,01500000;-2,22
2021-12-31T00:00:00+00:00;LEOBEAR/USD;3,08200000;3,08200000;2,97700000;3,08200000;0,0
2021-12-30T00:00:00+00:00;LEOBEAR/USD;3,18700000;3,22100000;3,08200000;3,08200000;-3,41
2021-12-29T00:00:00+00:00;LEOBEAR/USD;3,43300000;3,43300000;3,18700000;3,18700000;-7,72
2021-12-28T00:00:00+00:00;LEOBEAR/USD;3,57400000;3,75400000;3,43300000;3,43300000;-4,11
2021-12-27T00:00:00+00:00;LEOBEAR/USD;3,51400000;3,60600000;3,43300000;3,57400000;1,68
2021-12-26T00:00:00+00:00;LEOBEAR/USD;3,70900000;3,99700000;3,43300000;3,51400000;-5,55
2021-12-25T00:00:00+00:00;LEOBEAR/USD;3,70900000;3,70900000;3,47500000;3,70900000;0,0
2021-12-24T00:00:00+00:00;LEOBEAR/USD;3,57200000;3,70900000;3,55200000;3,70900000;3,69
2021-12-23T00:00:00+00:00;LEOBEAR/USD;3,65500000;3,70900000;3,37200000;3,57200000;-2,32
2021-12-22T00:00:00+00:00;LEOBEAR/USD;3,43100000;3,70900000;3,39200000;3,65500000;6,13
2021-12-21T00:00:00+00:00;LEOBEAR/USD;3,43700000;3,44100000;3,43100000;3,43100000;-0,17
2021-12-20T00:00:00+00:00;LEOBEAR/USD;3,80700000;3,81600000;3,43100000;3,43700000;-10,77
2021-12-19T00:00:00+00:00;LEOBEAR/USD;3,70300000;3,82800000;3,59500000;3,80700000;2,73
2021-12-18T00:00:00+00:00;LEOBEAR/USD;3,86100000;3,99900000;3,70300000;3,70300000;-4,27
2021-12-17T00:00:00+00:00;LEOBEAR/USD;3,90400000;3,99900000;3,60300000;3,86100000;-1,11
2021-12-16T00:00:00+00:00;LEOBEAR/USD;3,99900000;3,99900000;3,71800000;3,90400000;-2,43
2021-12-15T00:00:00+00:00;LEOBEAR/USD;3,94800000;3,99900000;3,94800000;3,99900000;1,28
2021-12-14T00:00:00+00:00;LEOBEAR/USD;3,88100000;4,64200000;3,88100000;3,94800000;1,7
2021-12-13T00:00:00+00:00;LEOBEAR/USD;3,66800000;3,90900000;3,62900000;3,88100000;5,49
2021-12-12T00:00:00+00:00;LEOBEAR/USD;3,68800000;3,90900000;3,62600000;3,66800000;-0,55
2021-12-11T00:00:00+00:00;LEOBEAR/USD;3,83200000;3,83200000;3,68600000;3,68800000;-3,9
2021-12-10T00:00:00+00:00;LEOBEAR/USD;3,86600000;3,87300000;3,78900000;3,83200000;-0,89
2021-12-09T00:00:00+00:00;LEOBEAR/USD;3,85000000;3,90900000;3,48600000;3,86600000;0,41
2021-12-08T00:00:00+00:00;LEOBEAR/USD;3,85000000;3,85000000;3,85000000;3,85000000;0,0
2021-12-07T00:00:00+00:00;LEOBEAR/USD;4,31900000;4,41400000;3,85000000;3,85000000;-12,18
2021-12-06T00:00:00+00:00;LEOBEAR/USD;4,44300000;4,75500000;4,09400000;4,31900000;-2,87
2021-12-05T00:00:00+00:00;LEOBEAR/USD;4,75500000;4,75500000;4,12800000;4,44300000;-7,02
2021-12-04T00:00:00+00:00;LEOBEAR/USD;4,75500000;4,75500000;4,75500000;4,75500000;0,0
2021-12-03T00:00:00+00:00;LEOBEAR/USD;4,75500000;4,75500000;4,75500000;4,75500000;0,0
2021-12-02T00:00:00+00:00;LEOBEAR/USD;4,74600000;6,00000000;4,74600000;4,75500000;0,19
2021-12-01T00:00:00+00:00;LEOBEAR/USD;5,71400000;5,71400000;4,51600000;4,74600000;-20,4
2021-11-30T00:00:00+00:00;LEOBEAR/USD;5,40000000;6,04250000;4,29000000;5,71400000;5,5
2021-11-29T00:00:00+00:00;LEOBEAR/USD;6,86000000;6,86000000;5,40000000;5,40000000;-27,04
2021-11-28T00:00:00+00:00;LEOBEAR/USD;8,66250000;8,66250000;5,41250000;6,86000000;-26,28
2021-11-27T00:00:00+00:00;LEOBEAR/USD;5,69750000;8,66250000;5,69750000;8,66250000;34,23
2021-11-26T00:00:00+00:00;LEOBEAR/USD;6,52250000;6,52250000;5,69750000;5,69750000;-14,48
2021-11-25T00:00:00+00:00;LEOBEAR/USD;5,64250000;6,52250000;5,64250000;6,52250000;13,49
2021-11-24T00:00:00+00:00;LEOBEAR/USD;5,64250000;5,64250000;5,64250000;5,64250000;0,0
2021-11-23T00:00:00+00:00;LEOBEAR/USD;5,84100000;5,84100000;5,63250000;5,64250000;-3,52
2021-11-22T00:00:00+00:00;LEOBEAR/USD;6,56500000;6,73500000;5,47700000;5,84100000;-12,4
2021-11-21T00:00:00+00:00;LEOBEAR/USD;7,68500000;7,68500000;6,56500000;6,56500000;-17,06
2021-11-20T00:00:00+00:00;LEOBEAR/USD;7,10000000;8,09250000;7,10000000;7,68500000;7,61
2021-11-19T00:00:00+00:00;LEOBEAR/USD;8,88000000;8,88000000;6,81250000;7,10000000;-25,07
2021-11-18T00:00:00+00:00;LEOBEAR/USD;8,81750000;8,88000000;7,98500000;8,88000000;0,7
2021-11-17T00:00:00+00:00;LEOBEAR/USD;8,88000000;8,88000000;8,49000000;8,81750000;-0,71
2021-11-16T00:00:00+00:00;LEOBEAR/USD;10,03750000;10,03750000;7,36250000;8,88000000;-13,03
2021-11-15T00:00:00+00:00;LEOBEAR/USD;10,91500000;10,91500000;9,76250000;10,03750000;-8,74
2021-11-14T00:00:00+00:00;LEOBEAR/USD;10,34500000;12,93000000;8,88500000;10,91500000;5,22
2021-11-13T00:00:00+00:00;LEOBEAR/USD;8,74250000;11,26250000;8,57750000;10,34500000;15,49
2021-11-12T00:00:00+00:00;LEOBEAR/USD;8,07750000;8,74250000;8,07750000;8,74250000;7,61
2021-11-11T00:00:00+00:00;LEOBEAR/USD;7,39500000;8,07750000;7,00250000;8,07750000;8,45
2021-11-10T00:00:00+00:00;LEOBEAR/USD;7,89500000;7,89500000;7,18500000;7,39500000;-6,76
2021-11-09T00:00:00+00:00;LEOBEAR/USD;7,58500000;7,89500000;7,34000000;7,89500000;3,93
2021-11-08T00:00:00+00:00;LEOBEAR/USD;8,29000000;8,50750000;7,58500000;7,58500000;-9,29
2021-11-07T00:00:00+00:00;LEOBEAR/USD;8,23500000;8,77500000;7,58500000;8,29000000;0,66
2021-11-06T00:00:00+00:00;LEOBEAR/USD;9,13500000;9,13500000;7,93250000;8,23500000;-10,93
2021-11-05T00:00:00+00:00;LEOBEAR/USD;7,91000000;9,43500000;7,91000000;9,13500000;13,41
2021-11-04T00:00:00+00:00;LEOBEAR/USD;7,00000000;7,91000000;7,00000000;7,91000000;11,5
2021-11-03T00:00:00+00:00;LEOBEAR/USD;6,80000000;7,27000000;6,62750000;7,00000000;2,86
2021-11-02T00:00:00+00:00;LEOBEAR/USD;6,81250000;7,10000000;6,59750000;6,80000000;-0,18
2021-11-01T00:00:00+00:00;LEOBEAR/USD;7,22250000;7,99000000;6,77500000;6,81250000;-6,02
2021-10-31T00:00:00+00:00;LEOBEAR/USD;7,22250000;7,22250000;7,22250000;7,22250000;0,0
2021-10-30T00:00:00+00:00;LEOBEAR/USD;7,93250000;7,99000000;7,22250000;7,22250000;-9,83
2021-10-29T00:00:00+00:00;LEOBEAR/USD;7,99000000;7,99000000;7,67000000;7,93250000;-0,72
2021-10-28T00:00:00+00:00;LEOBEAR/USD;7,86250000;8,92000000;7,80500000;7,99000000;1,6
2021-10-27T00:00:00+00:00;LEOBEAR/USD;6,93000000;7,86500000;6,93000000;7,86250000;11,86
2021-10-26T00:00:00+00:00;LEOBEAR/USD;7,35000000;7,91750000;6,61000000;6,93000000;-6,06
2021-10-25T00:00:00+00:00;LEOBEAR/USD;6,82750000;8,81750000;6,76750000;7,35000000;7,11
2021-10-24T00:00:00+00:00;LEOBEAR/USD;8,50000000;8,88250000;6,68000000;6,82750000;-24,5
2021-10-23T00:00:00+00:00;LEOBEAR/USD;7,37000000;8,50000000;6,74500000;8,50000000;13,29
2021-10-22T00:00:00+00:00;LEOBEAR/USD;9,30500000;9,34500000;7,35750000;7,37000000;-26,26
2021-10-21T00:00:00+00:00;LEOBEAR/USD;8,40500000;10,17750000;8,04250000;9,30500000;9,67
2021-10-20T00:00:00+00:00;LEOBEAR/USD;11,30000000;11,95000000;8,40500000;8,40500000;-34,44
2021-10-19T00:00:00+00:00;LEOBEAR/USD;12,60000000;13,30000000;11,18000000;11,30000000;-11,5
2021-10-18T00:00:00+00:00;LEOBEAR/USD;13,20000000;13,30000000;12,05000000;12,60000000;-4,76
2021-10-17T00:00:00+00:00;LEOBEAR/USD;12,76000000;13,30000000;12,17500000;13,20000000;3,33
2021-10-16T00:00:00+00:00;LEOBEAR/USD;12,00000000;13,30000000;12,00000000;12,76000000;5,96
2021-10-15T00:00:00+00:00;LEOBEAR/USD;14,65000000;15,29000000;11,74500000;12,00000000;-22,08
2021-10-14T00:00:00+00:00;LEOBEAR/USD;14,23500000;15,31500000;13,17000000;14,65000000;2,83
2021-10-13T00:00:00+00:00;LEOBEAR/USD;14,34500000;14,45500000;14,23500000;14,23500000;-0,77
2021-10-12T00:00:00+00:00;LEOBEAR/USD;14,23500000;14,74000000;14,08500000;14,34500000;0,77
2021-10-11T00:00:00+00:00;LEOBEAR/USD;14,47500000;14,47500000;14,23500000;14,23500000;-1,69
2021-10-10T00:00:00+00:00;LEOBEAR/USD;12,74500000;15,53500000;12,74500000;14,47500000;11,95
2021-10-09T00:00:00+00:00;LEOBEAR/USD;12,87000000;13,05000000;12,74500000;12,74500000;-0,98
2021-10-08T00:00:00+00:00;LEOBEAR/USD;12,59000000;15,08000000;12,59000000;12,87000000;2,18
2021-10-07T00:00:00+00:00;LEOBEAR/USD;12,59000000;12,59000000;12,55500000;12,59000000;0,0
2021-10-06T00:00:00+00:00;LEOBEAR/USD;12,14000000;12,59000000;11,93000000;12,59000000;3,57
2021-10-05T00:00:00+00:00;LEOBEAR/USD;12,14000000;12,14000000;12,14000000;12,14000000;0,0
2021-10-04T00:00:00+00:00;LEOBEAR/USD;12,56500000;12,56500000;12,14000000;12,14000000;-3,5
2021-10-03T00:00:00+00:00;LEOBEAR/USD;12,19500000;12,56500000;11,92000000;12,56500000;2,94
2021-10-02T00:00:00+00:00;LEOBEAR/USD;11,39500000;13,03000000;10,83500000;12,19500000;6,56
2021-10-01T00:00:00+00:00;LEOBEAR/USD;12,34000000;12,34500000;11,39500000;11,39500000;-8,29
2021-09-30T00:00:00+00:00;LEOBEAR/USD;13,05500000;13,05500000;11,39500000;12,34000000;-5,79
2021-09-29T00:00:00+00:00;LEOBEAR/USD;14,61500000;16,12000000;12,96000000;13,05500000;-11,95
2021-09-28T00:00:00+00:00;LEOBEAR/USD;16,07500000;16,07500000;14,61500000;14,61500000;-9,99
2021-09-27T00:00:00+00:00;LEOBEAR/USD;13,73000000;16,07500000;13,73000000;16,07500000;14,59
2021-09-26T00:00:00+00:00;LEOBEAR/USD;13,73000000;13,73000000;13,73000000;13,73000000;0,0
2021-09-25T00:00:00+00:00;LEOBEAR/USD;11,63500000;13,73000000;11,63500000;13,73000000;15,26
