DATE/TIME;SYMBOL;OPEN;HIGH;LOW;CLOSE;EVOL % CLOSE/HIGH
2022-01-05T00:00:00+00:00;EXCHBEAR/USD;0,00025200;0,00025230;0,00024040;0,00024300;-3,7
2022-01-04T00:00:00+00:00;EXCHBEAR/USD;0,00024940;0,00026310;0,00023030;0,00025200;1,03
2022-01-03T00:00:00+00:00;EXCHBEAR/USD;0,00023870;0,00025400;0,00023530;0,00024940;4,29
2022-01-02T00:00:00+00:00;EXCHBEAR/USD;0,00024250;0,00024900;0,00023580;0,00023870;-1,59
2022-01-01T00:00:00+00:00;EXCHBEAR/USD;0,00026530;0,00026530;0,00024200;0,00024250;-9,4
2021-12-31T00:00:00+00:00;EXCHBEAR/USD;0,00025610;0,00026910;0,00024080;0,00026530;3,47
2021-12-30T00:00:00+00:00;EXCHBEAR/USD;0,00026530;0,00026860;0,00024690;0,00025610;-3,59
2021-12-29T00:00:00+00:00;EXCHBEAR/USD;0,00024080;0,00026530;0,00023610;0,00026530;9,23
2021-12-28T00:00:00+00:00;EXCHBEAR/USD;0,00021320;0,00024690;0,00021320;0,00024080;11,46
2021-12-27T00:00:00+00:00;EXCHBEAR/USD;0,00022025;0,00022365;0,00020665;0,00021320;-3,31
2021-12-26T00:00:00+00:00;EXCHBEAR/USD;0,00022240;0,00023305;0,00021835;0,00022025;-0,98
2021-12-25T00:00:00+00:00;EXCHBEAR/USD;0,00022850;0,00022905;0,00022065;0,00022240;-2,74
2021-12-24T00:00:00+00:00;EXCHBEAR/USD;0,00021630;0,00022950;0,00021560;0,00022850;5,34
2021-12-23T00:00:00+00:00;EXCHBEAR/USD;0,00023160;0,00024240;0,00021160;0,00021630;-7,07
2021-12-22T00:00:00+00:00;EXCHBEAR/USD;0,00022850;0,00023160;0,00022100;0,00023160;1,34
2021-12-21T00:00:00+00:00;EXCHBEAR/USD;0,00024070;0,00024360;0,00022310;0,00022850;-5,34
2021-12-20T00:00:00+00:00;EXCHBEAR/USD;0,00024300;0,00026320;0,00023680;0,00024070;-0,96
2021-12-19T00:00:00+00:00;EXCHBEAR/USD;0,00024580;0,00024830;0,00023030;0,00024300;-1,15
2021-12-18T00:00:00+00:00;EXCHBEAR/USD;0,00025980;0,00026920;0,00024270;0,00024580;-5,7
2021-12-17T00:00:00+00:00;EXCHBEAR/USD;0,00025860;0,00028260;0,00025040;0,00025980;0,46
2021-12-16T00:00:00+00:00;EXCHBEAR/USD;0,00024380;0,00025970;0,00023970;0,00025860;5,72
2021-12-15T00:00:00+00:00;EXCHBEAR/USD;0,00027210;0,00028880;0,00023840;0,00024380;-11,61
2021-12-14T00:00:00+00:00;EXCHBEAR/USD;0,00029230;0,00029820;0,00026560;0,00027210;-7,42
2021-12-13T00:00:00+00:00;EXCHBEAR/USD;0,00024380;0,00030320;0,00024380;0,00029230;16,59
2021-12-12T00:00:00+00:00;EXCHBEAR/USD;0,00026080;0,00026100;0,00024380;0,00024380;-6,97
2021-12-11T00:00:00+00:00;EXCHBEAR/USD;0,00028810;0,00030170;0,00025870;0,00026080;-10,47
2021-12-10T00:00:00+00:00;EXCHBEAR/USD;0,00026130;0,00028890;0,00024440;0,00028810;9,3
2021-12-09T00:00:00+00:00;EXCHBEAR/USD;0,00022825;0,00026675;0,00022155;0,00026130;12,65
2021-12-08T00:00:00+00:00;EXCHBEAR/USD;0,00025540;0,00026960;0,00022765;0,00022825;-11,89
2021-12-07T00:00:00+00:00;EXCHBEAR/USD;0,00025560;0,00026450;0,00024280;0,00025540;-0,08
2021-12-06T00:00:00+00:00;EXCHBEAR/USD;0,00029060;0,00031350;0,00024930;0,00025560;-13,69
2021-12-05T00:00:00+00:00;EXCHBEAR/USD;0,00034400;0,00036960;0,00028950;0,00029060;-18,38
2021-12-04T00:00:00+00:00;EXCHBEAR/USD;0,00022115;0,00034650;0,00021660;0,00034400;35,71
2021-12-03T00:00:00+00:00;EXCHBEAR/USD;0,00021670;0,00023210;0,00020850;0,00022115;2,01
2021-12-02T00:00:00+00:00;EXCHBEAR/USD;0,00021670;0,00022130;0,00021355;0,00021670;0,0
2021-12-01T00:00:00+00:00;EXCHBEAR/USD;0,00021365;0,00021670;0,00020300;0,00021670;1,41
2021-11-30T00:00:00+00:00;EXCHBEAR/USD;0,00021365;0,00022420;0,00021320;0,00021365;0,0
2021-11-29T00:00:00+00:00;EXCHBEAR/USD;0,00024635;0,00024635;0,00021365;0,00021365;-15,31
2021-11-28T00:00:00+00:00;EXCHBEAR/USD;0,00024050;0,00029430;0,00023760;0,00024635;2,37
2021-11-27T00:00:00+00:00;EXCHBEAR/USD;0,00025210;0,00027020;0,00022330;0,00024050;-4,82
2021-11-26T00:00:00+00:00;EXCHBEAR/USD;0,00020950;0,00028230;0,00020950;0,00025210;16,9
2021-11-25T00:00:00+00:00;EXCHBEAR/USD;0,00025380;0,00025380;0,00020950;0,00020950;-21,15
2021-11-24T00:00:00+00:00;EXCHBEAR/USD;0,00026220;0,00027370;0,00025380;0,00025380;-3,31
2021-11-23T00:00:00+00:00;EXCHBEAR/USD;0,00029550;0,00029760;0,00025330;0,00026220;-12,7
2021-11-22T00:00:00+00:00;EXCHBEAR/USD;0,00026960;0,00030510;0,00026890;0,00029550;8,76
2021-11-21T00:00:00+00:00;EXCHBEAR/USD;0,00025030;0,00027540;0,00024960;0,00026960;7,16
2021-11-20T00:00:00+00:00;EXCHBEAR/USD;0,00027510;0,00028260;0,00025010;0,00025030;-9,91
2021-11-19T00:00:00+00:00;EXCHBEAR/USD;0,00032780;0,00033550;0,00025380;0,00027510;-19,16
2021-11-18T00:00:00+00:00;EXCHBEAR/USD;0,00028230;0,00036060;0,00027630;0,00032780;13,88
2021-11-17T00:00:00+00:00;EXCHBEAR/USD;0,00028640;0,00031270;0,00028130;0,00028230;-1,45
2021-11-16T00:00:00+00:00;EXCHBEAR/USD;0,00024220;0,00030950;0,00024130;0,00028640;15,43
2021-11-15T00:00:00+00:00;EXCHBEAR/USD;0,00023365;0,00024240;0,00022500;0,00024220;3,53
2021-11-14T00:00:00+00:00;EXCHBEAR/USD;0,00023610;0,00024520;0,00022810;0,00023365;-1,05
2021-11-13T00:00:00+00:00;EXCHBEAR/USD;0,00023370;0,00024660;0,00022530;0,00023610;1,02
2021-11-12T00:00:00+00:00;EXCHBEAR/USD;0,00022600;0,00025530;0,00021845;0,00023370;3,29
2021-11-11T00:00:00+00:00;EXCHBEAR/USD;0,00022905;0,00023440;0,00021480;0,00022600;-1,35
2021-11-10T00:00:00+00:00;EXCHBEAR/USD;0,00020610;0,00024305;0,00018915;0,00022905;10,02
2021-11-09T00:00:00+00:00;EXCHBEAR/USD;0,00019035;0,00020765;0,00018725;0,00020610;7,64
2021-11-08T00:00:00+00:00;EXCHBEAR/USD;0,00020065;0,00020555;0,00018745;0,00018915;-6,08
2021-11-07T00:00:00+00:00;EXCHBEAR/USD;0,00022775;0,00023240;0,00019205;0,00020065;-13,51
2021-11-06T00:00:00+00:00;EXCHBEAR/USD;0,00026390;0,00027490;0,00022775;0,00022775;-15,87
2021-11-05T00:00:00+00:00;EXCHBEAR/USD;0,00029590;0,00030870;0,00025570;0,00026390;-12,13
2021-11-04T00:00:00+00:00;EXCHBEAR/USD;0,00027420;0,00031290;0,00027160;0,00029590;7,33
2021-11-03T00:00:00+00:00;EXCHBEAR/USD;0,00029270;0,00031130;0,00027290;0,00027420;-6,75
2021-11-02T00:00:00+00:00;EXCHBEAR/USD;0,00030930;0,00032140;0,00029090;0,00029270;-5,67
2021-11-01T00:00:00+00:00;EXCHBEAR/USD;0,00033660;0,00036000;0,00030840;0,00030930;-8,83
2021-10-31T00:00:00+00:00;EXCHBEAR/USD;0,00033470;0,00036230;0,00033030;0,00033660;0,56
2021-10-30T00:00:00+00:00;EXCHBEAR/USD;0,00032390;0,00035200;0,00031340;0,00033470;3,23
