Timestamp,Open,High,Low,Close,Volume
2021-05-11 00:00:00,249.28,2831.02,249.28,364.01,1773623.0
2021-05-12 00:00:00,364.06,390.0,255.0,258.02,1291354.53
2021-05-13 00:00:00,258.0,346.81,252.0,301.44,815229.63
2021-05-14 00:00:00,301.48,341.0,291.39,304.13,462179.09
2021-05-15 00:00:00,304.1,305.03,240.0,246.06,540015.89
2021-05-16 00:00:00,246.06,263.68,205.07,225.19,507341.61
2021-05-17 00:00:00,225.16,226.35,184.39,195.59,520889.77
2021-05-18 00:00:00,195.58,205.82,160.34,163.47,690553.08
2021-05-19 00:00:00,163.66,179.12,92.0,122.79,1274193.75
2021-05-20 00:00:00,122.83,224.11,103.63,164.15,3769557.35
2021-05-21 00:00:00,163.92,186.91,120.0,145.88,2026467.63
2021-05-22 00:00:00,145.87,169.53,124.76,146.23,1206414.61
2021-05-23 00:00:00,145.92,165.59,120.62,143.94,1455176.26
2021-05-24 00:00:00,143.97,163.6,135.5,147.67,1260806.93
2021-05-25 00:00:00,147.62,157.0,122.6,134.04,1029887.3
2021-05-26 00:00:00,134.01,152.35,131.89,142.67,1080307.24
2021-05-27 00:00:00,142.53,145.79,129.65,132.12,684980.11
2021-05-28 00:00:00,132.13,132.94,110.08,115.65,832199.55
2021-05-29 00:00:00,115.65,119.76,105.6,110.75,500541.51
2021-05-30 00:00:00,110.77,118.97,104.4,111.9,456137.64
2021-05-31 00:00:00,111.87,115.36,105.15,114.65,496847.77
2021-06-01 00:00:00,114.65,117.11,106.47,107.58,418636.87
2021-06-02 00:00:00,107.58,113.06,101.97,108.01,806345.16
2021-06-03 00:00:00,107.89,136.62,105.2,124.54,1666717.82
2021-06-04 00:00:00,124.5,124.54,105.24,108.78,1329668.01
2021-06-05 00:00:00,108.71,116.26,100.0,104.55,755203.97
2021-06-06 00:00:00,104.5,110.0,102.39,104.49,512306.77
2021-06-07 00:00:00,104.42,106.73,88.88,91.13,819469.64
2021-06-08 00:00:00,91.14,94.37,76.72,81.31,1081773.46
2021-06-09 00:00:00,81.31,88.99,77.1,81.55,1226553.49
2021-06-10 00:00:00,81.55,83.69,65.35,66.57,2095644.84
2021-06-11 00:00:00,66.54,72.39,56.14,58.49,2119023.27
2021-06-12 00:00:00,58.4,67.66,52.92,61.08,2179939.38
2021-06-13 00:00:00,61.07,67.0,57.18,64.45,2035143.16
2021-06-14 00:00:00,64.44,70.81,61.88,66.69,1588608.47
2021-06-15 00:00:00,66.69,68.88,58.58,60.39,1801762.13
2021-06-16 00:00:00,60.32,60.41,54.72,55.34,1323822.44
2021-06-17 00:00:00,55.34,60.18,51.02,54.09,1388646.51
